,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
107,saskylakh,RU,-23.93,71.97,114.09,70.0,64.0,8.63
108,mount pleasant,US,53.62,33.16,-94.97,70.0,90.0,10.29
109,jamestown,AU,39.84,-33.21,138.6,75.0,20.0,3.15
110,seminole,US,45.14,32.72,-102.64,100.0,90.0,9.17
112,diffa,NE,95.78,13.32,12.61,13.0,24.0,12.77
113,qaanaaq,GL,-2.46,77.48,-69.36,100.0,20.0,5.73
114,andreapol,RU,34.58,56.65,32.27,98.0,68.0,3.15
115,iqaluit,CA,24.8,63.75,-68.52,73.0,75.0,10.29
117,lompoc,US,53.47,34.64,-120.46,89.0,1.0,5.82
118,guerrero negro,MX,59.87,27.97,-114.04,100.0,76.0,4.94
119,dhidhdhoo,MV,83.81,6.88,73.1,100.0,92.0,4.16
120,narsaq,GL,24.8,60.91,-46.05,62.0,75.0,1.12
121,tigil,RU,26.03,57.8,158.67,88.0,76.0,7.4
123,mitu,IR,39.71,36.2,46.09,92.0,64.0,1.25
124,cabo san lucas,MX,80.33,22.89,-109.91,42.0,20.0,7.85
125,samarai,PG,80.34,-10.62,150.67,100.0,92.0,13.0
126,cherskiy,RU,-8.18,68.75,161.3,80.0,36.0,1.36
127,zhangye,CN,23.01,38.94,100.46,69.0,0.0,4.94
128,lavrentiya,RU,36.02,65.58,-170.99,100.0,88.0,17.25
129,paramonga,PE,63.56,-10.68,-77.82,100.0,44.0,4.05
130,portales,US,39.79,34.19,-103.33,93.0,90.0,9.17
131,kenora,CA,18.32,49.76,-94.48,79.0,90.0,8.05
132,ilulissat,GL,19.4,69.22,-51.1,67.0,75.0,13.87
133,hornepayne,CA,23.87,49.22,-84.78,77.0,56.0,3.6
134,udachnyy,RU,2.81,66.42,112.4,71.0,56.0,4.94
135,dikson,RU,12.66,73.51,80.55,100.0,56.0,24.63
136,manta,RO,43.94,45.1,24.1,77.0,0.0,2.71
137,oussouye,SN,91.47,12.49,-16.54,58.0,0.0,6.93
138,rezina,MD,43.04,47.75,28.95,76.0,0.0,4.83
139,malaya serdoba,RU,36.24,52.47,44.96,85.0,68.0,5.39
141,puerto ayora,EC,80.6,-0.74,-90.35,65.0,40.0,13.87
142,yantal,RU,26.75,56.85,105.25,84.0,80.0,6.17
144,maravilha,BR,80.39,-26.76,-53.17,62.0,0.0,8.97
145,auki,NG,94.07,12.18,6.51,21.0,0.0,10.87
146,iracoubo,GF,88.89,5.48,-53.21,64.0,0.0,5.95
147,vestmanna,FO,44.6,62.16,-7.17,81.0,40.0,19.46
148,ormara,PK,78.77,25.21,64.64,88.0,0.0,13.22
149,quepos,CR,79.72,9.43,-84.16,54.0,20.0,6.93
150,lebu,ET,65.54,8.96,38.73,50.0,56.0,5.06
151,san patricio,PY,85.25,-26.98,-56.83,67.0,8.0,5.73
152,reconquista,AR,84.71,-29.14,-59.64,57.0,0.0,11.32
153,karratha,AU,82.23,-20.74,116.85,33.0,68.0,2.59
154,castro,CL,53.16,-42.48,-73.76,99.0,92.0,7.74
155,grindavik,IS,44.6,63.84,-22.43,81.0,75.0,29.97
156,wojkowice,PL,51.22,50.37,19.04,87.0,12.0,2.24
158,henties bay,NA,69.05,-22.12,14.28,75.0,0.0,5.39
159,aklavik,CA,-1.76,68.22,-135.01,83.0,40.0,3.83
160,sol-iletsk,RU,36.51,51.16,55.0,77.0,80.0,9.42
161,riyadh,SA,73.4,24.63,46.72,49.0,75.0,13.87
163,marfino,RU,35.6,56.07,37.56,100.0,90.0,4.47
164,codrington,AU,57.62,-28.95,153.24,70.0,0.0,5.39
165,atakpame,TG,91.55,7.53,1.13,56.0,0.0,5.39
167,hobyo,SO,81.56,5.35,48.53,76.0,0.0,11.88
168,anadyr,RU,30.2,64.73,177.51,80.0,20.0,20.13
169,tha chang,TH,73.59,14.76,100.39,98.0,92.0,1.92
170,canto do buriti,BR,92.27,-8.11,-42.94,37.0,80.0,13.89
171,port angeles,US,38.44,48.12,-123.43,79.0,90.0,6.93
172,tiksi,RU,-19.25,71.64,128.87,55.0,0.0,8.52
173,tuatapere,NZ,45.65,-46.13,167.69,100.0,80.0,10.2
174,sept-iles,CA,41.0,50.2,-66.38,75.0,75.0,10.29
176,longyearbyen,NO,24.8,78.22,15.63,85.0,20.0,8.05
177,nizwa,OM,74.09,22.93,57.53,63.0,44.0,4.27
178,geraldton,CA,17.6,49.72,-86.95,72.0,90.0,5.82
179,ribeira grande,PT,68.0,38.52,-28.7,72.0,75.0,21.92
180,lasa,CY,68.0,34.92,32.53,68.0,40.0,4.7
181,sao borja,BR,81.38,-28.66,-56.0,72.0,0.0,16.8
182,punta arenas,CL,46.4,-53.16,-70.91,52.0,20.0,34.45
183,port hedland,AU,80.6,-20.31,118.58,57.0,80.0,3.36
184,kasama,ZM,75.35,-10.21,31.19,71.0,64.0,7.74
185,mount gambier,AU,53.34,-37.83,140.78,82.0,76.0,4.83
186,rocha,UY,75.21,-34.48,-54.34,68.0,0.0,17.36
187,damghan,IR,43.89,36.17,54.34,94.0,24.0,2.71
188,houma,CN,28.23,35.63,111.36,86.0,0.0,1.7
189,torbay,CA,46.4,47.66,-52.73,75.0,75.0,26.4
190,chuy,UY,75.21,-33.69,-53.46,72.0,8.0,20.6
192,provideniya,RU,37.01,64.42,-173.23,100.0,80.0,24.96
193,thompson,CA,-4.01,55.74,-97.86,83.0,75.0,5.73
194,pisco,PE,71.6,-13.71,-76.2,30.0,40.0,11.41
195,faanui,PF,80.93,-16.48,-151.75,100.0,44.0,17.47
196,havoysund,NO,35.01,71.0,24.66,92.0,0.0,6.93
197,maceio,BR,82.4,-9.67,-35.74,69.0,75.0,8.05
198,etchojoa,MX,73.4,26.91,-109.62,43.0,5.0,3.04
199,jiexiu,CN,29.54,37.02,111.92,84.0,0.0,5.61
200,peterhead,AU,50.0,-34.83,138.5,71.0,0.0,6.93
201,okhotsk,RU,0.11,59.36,143.24,100.0,0.0,8.97
202,sur,OM,78.81,22.57,59.53,99.0,12.0,4.16
203,tsiroanomandidy,MG,84.93,-18.77,46.05,29.0,92.0,5.06
204,shache,CN,38.63,38.42,77.24,74.0,12.0,10.65
206,sao felix do xingu,BR,85.74,-6.64,-51.99,74.0,12.0,1.59
207,tingo maria,PE,77.0,-9.29,-76.01,73.0,75.0,1.92
208,strezhevoy,RU,-5.81,60.73,77.6,76.0,0.0,11.18
209,hervey bay,AU,72.24,-25.3,152.85,97.0,0.0,17.25
210,monaghan,GB,50.0,54.25,-6.97,81.0,75.0,8.05
211,la primavera,AR,80.6,-32.92,-68.67,39.0,0.0,6.93
213,arman,RU,-22.01,59.7,150.17,74.0,0.0,2.24
214,nouadhibou,MR,78.8,20.93,-17.03,54.0,20.0,12.75
215,vwawa,TZ,82.55,-9.11,32.94,35.0,32.0,9.64
216,la rioja,AR,77.42,-29.41,-66.86,76.0,0.0,3.6
217,esperance,TT,89.6,10.24,-61.45,59.0,40.0,6.93
218,chokurdakh,RU,-12.86,70.62,147.9,61.0,76.0,6.73
219,ust-nera,RU,-36.98,64.57,143.24,0.0,8.0,1.81
220,santa rosa,AR,80.3,-36.62,-64.29,50.0,0.0,20.27
221,tulu bolo,ET,61.67,8.66,38.21,76.0,88.0,1.36
222,beruwala,LK,77.01,6.48,79.98,100.0,92.0,2.93
223,trelleborg,SE,47.05,55.38,13.15,100.0,90.0,2.24
224,naze,NG,86.0,5.43,7.07,70.0,75.0,6.93
225,santa maria,BR,80.6,-29.69,-53.81,51.0,0.0,13.87
226,sirjan,IR,52.04,29.44,55.67,81.0,92.0,3.38
227,sambava,MG,78.41,-14.27,50.17,100.0,20.0,19.04
228,conway,US,50.65,35.09,-92.44,58.0,90.0,11.41
229,cedar city,US,33.08,37.68,-113.06,55.0,1.0,11.41
230,marawi,PH,67.88,8.0,124.29,98.0,24.0,2.59
231,lulea,SE,33.8,65.58,22.15,100.0,90.0,2.24
232,barrow,AR,78.14,-38.31,-60.23,39.0,0.0,25.08
233,makakilo city,US,71.06,21.35,-158.09,90.0,1.0,4.7
234,pangnirtung,CA,14.0,66.15,-65.72,66.0,40.0,5.82
235,adrar,DZ,87.8,27.87,-0.29,15.0,0.0,6.93
236,druzhba,UA,45.78,49.36,25.65,80.0,0.0,5.84
238,tuktoyaktuk,CA,3.2,69.44,-133.03,77.0,40.0,5.82
240,salalah,OM,82.4,17.01,54.1,69.0,20.0,4.7
241,angra dos reis,BR,73.4,-23.01,-44.32,88.0,90.0,2.24
242,xinzhi,TW,74.34,22.54,120.62,88.0,20.0,1.12
243,pevek,RU,-0.98,69.7,170.27,100.0,20.0,5.39
244,tessalit,ML,93.84,20.2,1.01,16.0,24.0,9.31
245,nanortalik,GL,33.18,60.14,-45.24,92.0,92.0,10.31
246,baruun-urt,MN,16.71,46.68,113.28,59.0,24.0,7.85
248,sunrise manor,US,55.8,36.21,-115.07,20.0,1.0,23.04
249,lagoa,PT,62.6,37.14,-8.45,77.0,40.0,16.11
250,ulaangom,MN,-0.62,49.98,92.07,53.0,32.0,1.92
251,bredasdorp,ZA,69.8,-34.53,20.04,56.0,0.0,12.75
252,tadine,NC,73.41,-21.55,167.88,100.0,92.0,13.44
253,ponta do sol,BR,65.13,-20.63,-46.0,100.0,92.0,10.09
254,longido,TZ,75.08,-2.73,36.7,64.0,8.0,4.16
256,pokaran,IN,66.21,26.93,71.92,38.0,0.0,5.95
257,polovinnoye,RU,26.3,54.79,65.99,80.0,44.0,18.14
258,antofagasta,CL,66.2,-23.65,-70.4,59.0,20.0,12.75
259,soe,EE,41.0,57.91,26.05,100.0,80.0,3.36
260,comodoro rivadavia,AR,78.8,-45.87,-67.48,27.0,40.0,27.51
261,veraval,FR,50.0,49.65,0.71,76.0,0.0,6.93
262,beloha,MG,71.3,-25.17,45.06,67.0,80.0,10.65
264,derzhavinsk,KZ,34.08,51.1,66.31,95.0,88.0,17.02
265,okoneshnikovo,RU,32.91,54.84,75.08,93.0,88.0,17.36
266,luderitz,NA,80.6,-26.65,15.16,39.0,0.0,10.29
267,vanavara,RU,15.63,60.35,102.28,86.0,80.0,6.51
269,mookane,BW,74.45,-23.68,26.66,45.0,0.0,9.53
270,karla,EE,39.2,59.37,24.93,100.0,90.0,3.36
271,san angelo,US,55.94,31.46,-100.44,93.0,90.0,9.17
273,ponta delgada,PT,66.2,37.73,-25.67,68.0,20.0,16.11
274,kavaratti,IN,85.61,10.57,72.64,100.0,0.0,7.4
275,tongzi,CN,48.66,28.78,105.09,90.0,88.0,4.16
278,salekhard,RU,1.55,66.54,66.62,71.0,36.0,11.43
279,awash,ET,75.08,8.99,40.17,63.0,0.0,3.38
280,port blair,IN,84.93,11.67,92.75,97.0,12.0,13.67
281,berlevag,NO,31.37,70.86,29.09,100.0,75.0,9.17
283,palimbang,PH,78.82,14.9,120.78,78.0,75.0,2.24
285,zabol,IR,60.8,31.03,61.49,36.0,0.0,6.93
286,lima,PE,70.04,-12.06,-77.04,62.0,12.0,2.15
288,balkanabat,TM,37.86,39.51,54.36,87.0,0.0,3.38
289,saldanha,PT,47.81,41.42,-6.55,100.0,92.0,15.68
290,vostok,RU,19.37,46.45,135.83,82.0,68.0,2.26
291,djambala,CG,75.8,-2.55,14.76,96.0,92.0,4.61
292,atar,MR,95.51,20.52,-13.05,21.0,0.0,6.62
294,hobart,AU,50.0,-42.88,147.33,66.0,75.0,8.05
296,alice springs,AU,59.0,-23.7,133.88,62.0,8.0,4.7
297,hasaki,JP,59.0,35.73,140.83,93.0,75.0,11.41
298,hithadhoo,MV,78.54,-0.6,73.08,100.0,80.0,12.55
299,kuala kangsar,MY,80.6,4.77,100.94,88.0,75.0,2.24
300,mayo,CA,-4.01,63.59,-135.9,83.0,90.0,3.6
301,mahebourg,MU,77.0,-20.41,57.7,78.0,20.0,6.93
302,novikovo,UA,45.02,45.05,34.56,100.0,12.0,5.17
304,las vegas,US,54.73,36.17,-115.15,19.0,1.0,24.16
305,ust-tsilma,RU,20.31,65.44,52.15,88.0,44.0,6.17
306,campbell river,CA,35.2,50.02,-125.24,100.0,90.0,2.24
307,hovd,NO,44.6,63.83,10.7,75.0,0.0,12.75
308,nome,US,62.47,30.04,-94.42,93.0,90.0,8.05
309,port macquarie,AU,53.6,-31.43,152.91,81.0,90.0,4.7
310,malindi,KE,82.4,-3.22,40.12,78.0,40.0,13.87
311,gualaquiza,EC,72.56,-3.4,-78.58,78.0,56.0,2.71
312,barentu,ER,81.02,15.11,37.59,39.0,8.0,5.17
315,el real de santa maria,PA,83.63,8.11,-77.73,88.0,24.0,4.83
316,caravelas,BR,77.06,-17.73,-39.27,100.0,88.0,12.1
317,prudyanka,UA,37.72,50.24,36.17,93.0,0.0,2.24
318,qaqortoq,GL,24.8,60.72,-46.03,62.0,75.0,1.12
319,mosquera,CO,68.0,4.71,-74.23,49.0,40.0,6.93
320,yerbogachen,RU,18.96,61.28,108.01,79.0,80.0,7.96
321,skelleftea,SE,35.6,64.75,20.95,100.0,90.0,2.24
322,moussoro,TD,95.24,13.64,16.49,12.0,0.0,13.78
323,egersund,NO,50.0,58.45,6.0,93.0,75.0,10.29
324,general pico,AR,80.79,-35.66,-63.75,50.0,0.0,21.05
325,hidrolandia,BR,92.04,-4.41,-40.44,47.0,0.0,12.33
326,cuamba,MZ,69.05,-14.8,36.54,85.0,92.0,13.11
327,alta floresta,BR,83.36,-9.87,-56.08,81.0,76.0,2.48
328,ust-ilimsk,RU,23.19,57.96,102.73,81.0,80.0,6.51
329,batemans bay,AU,54.51,-35.71,150.18,91.0,44.0,4.72
330,klyavlino,RU,33.59,54.26,52.03,92.0,48.0,5.84
331,santa rosalia,IT,65.39,38.07,13.27,72.0,0.0,11.41
332,sitka,US,34.85,37.17,-99.65,94.0,92.0,8.3
333,macapa,BR,95.0,0.05,-51.07,44.0,40.0,16.11
334,tilichiki,RU,16.49,60.47,166.1,80.0,56.0,7.18
335,boguchany,RU,25.89,58.38,97.46,82.0,76.0,7.96
336,bell ville,AR,83.9,-32.63,-62.69,56.0,0.0,15.79
337,kurilsk,RU,39.48,45.23,147.88,100.0,0.0,7.63
338,touros,BR,86.69,-5.2,-35.46,63.0,20.0,15.79
339,avarua,CK,77.0,-21.21,-159.78,78.0,90.0,13.87
340,tahe,CN,10.55,52.34,124.71,82.0,36.0,2.48
341,labuhan,ID,73.55,-2.54,115.51,96.0,32.0,0.47
343,harper,US,58.23,30.3,-99.24,100.0,90.0,9.17
344,lorengau,PG,83.9,-2.02,147.27,100.0,0.0,4.27
345,cherdyn,RU,14.01,60.4,56.48,63.0,0.0,6.62
346,tazovskiy,RU,-7.73,67.47,78.7,78.0,44.0,16.91
347,necochea,AR,73.59,-38.55,-58.74,57.0,36.0,23.29
348,fortuna,ES,65.01,38.18,-1.13,68.0,20.0,10.29
349,santa isabel,CO,73.98,4.71,-75.1,78.0,75.0,4.7
350,gorontalo,ID,74.81,0.54,123.06,99.0,80.0,1.92
351,ewa beach,US,71.04,21.32,-158.01,90.0,1.0,4.7
353,vancouver,US,34.11,45.63,-122.67,92.0,90.0,3.36
354,deep river,CA,39.2,46.1,-77.49,69.0,90.0,6.93
355,yuzhne,UA,42.8,48.22,33.85,70.0,0.0,4.47
356,bam,IR,55.46,29.11,58.36,58.0,12.0,1.92
357,floro,NO,51.76,61.6,5.03,71.0,75.0,17.22
358,palafrugell,ES,59.0,41.92,3.16,82.0,75.0,10.29
359,meadow lake,CA,-0.41,54.13,-108.44,84.0,75.0,4.7
361,husavik,CA,19.28,50.56,-96.99,99.0,36.0,5.39
362,kattivakkam,IN,80.6,13.22,80.32,83.0,40.0,3.36
363,havre-saint-pierre,CA,41.0,50.23,-63.6,80.0,90.0,18.34
364,constitucion,MX,60.8,23.99,-104.67,41.0,5.0,4.7
365,abeche,TD,95.0,13.83,20.83,13.0,0.0,7.18
366,agapovka,RU,33.8,53.3,59.13,69.0,90.0,6.71
367,usinsk,RU,15.23,66.0,57.56,87.0,64.0,9.98
368,hamilton,CA,40.44,43.26,-79.87,86.0,90.0,9.17
369,litovko,RU,24.59,49.24,135.18,80.0,80.0,2.37
370,plouzane,FR,53.6,48.38,-4.62,76.0,75.0,16.11
371,wattegama,LK,68.6,7.35,80.68,99.0,92.0,3.04
372,sibolga,ID,67.61,1.74,98.78,100.0,92.0,1.59
374,bonavista,CA,47.31,48.65,-53.11,81.0,44.0,25.41
377,cololaca,HN,78.8,14.31,-88.88,65.0,20.0,4.7
378,san cristobal,EC,64.4,-0.39,-78.55,59.0,75.0,12.75
379,bambanglipuro,ID,71.16,-7.95,110.28,100.0,100.0,3.15
380,vytegra,RU,36.74,61.01,36.45,100.0,92.0,5.39
381,chara,GR,57.2,39.42,22.43,93.0,75.0,2.93
383,coquimbo,CL,59.0,-29.95,-71.34,82.0,90.0,14.99
384,warrington,GB,53.6,53.39,-2.59,76.0,40.0,16.11
385,rio grande,BR,78.8,-32.03,-52.1,57.0,20.0,24.16
386,makaha,US,71.08,21.47,-158.22,98.0,1.0,3.36
387,lotoshino,RU,36.2,56.23,35.64,97.0,92.0,2.93
388,soyo,AO,83.36,-6.13,12.37,75.0,36.0,7.4
389,moose factory,CA,26.6,51.26,-80.61,86.0,90.0,11.41
390,yulara,AU,62.6,-25.24,130.99,45.0,24.0,5.82
391,hede,SE,42.8,60.45,15.49,100.0,90.0,3.36
392,chalchihuites,MX,54.29,23.48,-103.88,67.0,0.0,2.71
393,kahului,US,69.17,20.89,-156.47,89.0,1.0,4.7
394,xapuri,BR,78.8,-10.65,-68.5,78.0,90.0,11.41
396,mutis,CO,76.56,6.23,-77.4,100.0,92.0,4.94
397,terrasini,IT,65.41,38.15,13.08,72.0,0.0,11.41
398,makuyuni,TZ,80.03,-5.02,38.33,50.0,0.0,3.38
399,pizarro,CO,76.38,4.95,-77.37,100.0,92.0,4.61
400,komsomolskiy,RU,-3.81,67.55,63.78,64.0,56.0,4.16
401,visnes,NO,50.52,59.36,5.22,87.0,75.0,11.41
403,los llanos de aridane,ES,73.4,28.66,-17.92,60.0,20.0,12.75
405,kargil,PK,3.71,34.56,76.13,83.0,88.0,0.58
406,rayachoti,IN,74.58,14.06,78.75,61.0,8.0,7.74
407,sayyan,YE,68.42,15.17,44.32,30.0,88.0,1.48
408,clyde river,CA,3.2,70.47,-68.59,100.0,75.0,3.36
409,wilmington,US,50.0,39.75,-75.55,44.0,1.0,9.17
410,karaton,ID,80.6,-6.34,106.1,88.0,40.0,3.36
411,avera,US,66.13,33.19,-82.53,89.0,90.0,5.82
412,takoradi,GH,83.72,4.89,-1.75,94.0,0.0,8.97
413,grand gaube,MU,77.0,-20.01,57.66,78.0,20.0,6.93
414,douglas,US,57.02,31.34,-109.55,48.0,1.0,5.82
415,vazante,BR,68.91,-17.99,-46.9,100.0,92.0,4.94
416,boyolangu,ID,71.88,-8.09,111.9,98.0,88.0,1.36
417,teeli,RU,14.73,51.01,90.2,71.0,12.0,5.5
418,revda,RU,27.78,67.94,34.55,97.0,76.0,2.59
419,port-gentil,GA,80.6,-0.72,8.78,88.0,90.0,12.75
420,monywa,MM,72.65,22.12,95.13,82.0,12.0,4.61
424,sao filipe,CV,79.53,14.9,-24.5,91.0,8.0,15.79
425,nuuk,GL,17.6,64.17,-51.74,72.0,5.0,11.41
426,coahuayana,MX,73.91,18.62,-100.35,73.0,0.0,2.93
427,hienghene,NC,74.99,-20.68,164.93,100.0,76.0,13.44
428,kruisfontein,ZA,65.49,-34.0,24.73,70.0,0.0,3.6
429,kununurra,AU,80.6,-15.77,128.74,83.0,12.0,3.6
430,jalgaon,IN,69.09,21.0,75.57,68.0,0.0,2.71
431,lakes entrance,AU,51.41,-37.88,147.99,98.0,0.0,5.5
432,shimoda,JP,64.55,34.7,138.93,100.0,100.0,19.71
433,fairbanks,US,12.61,64.84,-147.72,93.0,40.0,2.71
434,deputatskiy,RU,-35.9,69.3,139.9,0.0,0.0,2.71
435,wellington,NZ,62.6,-41.29,174.78,88.0,92.0,27.51
436,noumea,NC,69.8,-22.28,166.46,77.0,0.0,1.12
437,te anau,NZ,41.01,-45.41,167.72,99.0,92.0,3.04
438,talnakh,RU,-10.52,69.49,88.39,69.0,44.0,11.65
440,coihaique,CL,56.52,-45.58,-72.07,67.0,75.0,3.36
441,kijang,KR,59.0,35.24,129.21,77.0,40.0,5.82
442,hami,CN,28.73,42.84,93.51,74.0,44.0,4.61
443,lugovoy,RU,11.49,59.72,65.88,77.0,44.0,14.9
444,barcelos,PT,56.37,41.53,-8.62,71.0,20.0,8.05
445,umm kaddadah,SD,84.71,13.6,26.69,9.0,0.0,9.53
446,galle,US,60.26,29.74,-97.91,89.0,90.0,10.29
447,acapulco,MX,84.2,16.86,-99.88,79.0,75.0,4.05
448,warwick,US,50.34,41.7,-71.42,45.0,75.0,8.05
